0	True	2) Да на данный момент все обучены	True	1) Все направления охрана труда да и экология а медицинская пощада
35	True	2) Директора нет я им ничего не могу сказать	True	1) Я вот смотрите я понятно я вам просто хотела это 1 вещь открывать я вам отправляла вот на почту и сделала предложение которое по которой мы сейчас в бюджетников обучаем
36	True	2) У нас есть прихожанин 1	50/50	None
37	False	None	None	None
38	False	None	None	None
39	True	2) Нет помощь пока нет а профилактика цена	50/50	None
40	True	2) Экологическая безопасностью и отходами я вообще не занимаюсь как бы у нас этого нет у меня пожарная охрана труда но необходимости нет потому что по мере того как подходят сроки мы работаем с организациями	50/50	None
41	False	None	None	None
42	False	None	None	None
43	False	None	None	None
44	False	None	None	None
45	True	2) Нет пока	False	None
46	True	2) Да какой у нас нет у нас есть все на директора на бухгалтера а на сотрудников только нет а сотрудников у нас 2 человека всего	True	1) Федеральный институт повышения квалификации был у нас его обучались но только вы у нас обучали знаете в каком году у меня стоит проезд с 17 в 16 я почему и звоню уточнить
47	True	2) У нас есть мы уже учились	50/50	None
48	True	2) Ну и соответственно как бы мы очно проводим в том числе в юлуторовске да то есть там понятно что соблюдение всех санитарных требований там в масках там и так далее да то есть маленькие группы вот но у нас блага есть филиал в ялуторовске тюменская тюменского учебного центра и там у нас есть возможность за эффективность такого рода обучения она зачастую выше	False	None
49	True	2) Конечно да все есть у нас все замечательно	50/50	None
50	True	2) Все обучены да всеобуча	50/50	None
51	True	2) Да вот знаете я сейчас вот значит вот федеральная служба по экологическому технологическому атомному надо лицензию у нас есть на эти дела лицензия допустим но это совсем другое экологическая безопасность это себя не относится	True	1) Так давайте тогда электронную почту запишу и уже сейчас передам итадис но они с вами свяжутся
52	False	None	None	None
53	True	2) Пока нет вот экологическая безопасность пока рано еще у меня просто я сейчас объект объект зал у меня котельно была	50/50	None
54	True	2) Нет он 1 мастер участка потому что котельная и находится во всех разных поселках то есть они несет с другом рядом поэтому каждый год у нас есть мастер	True	1) Вот ну все я сегодня в течение дня лесталь вам отправлю потому что у меня там цвета не было да в пятницу сегодня подготовлю вам обязательно в ближайшее время
55	True	2) Охрана труда у меня есть но это было уже просрочен у меня документ есть у меня тоже	True	1) Ну вот больше требует школы сады там вот в этом направлении да
56	False	None	None	None
57	False	None	None	None
58	False	None	None	None
59	False	None	None	None
60	False	None	None	None
61	False	None	None	None
62	True	2) Да образец удостоверения есть а я прошу то что там подожди	True	1) Так а экология нету да
63	False	None	None	None
64	True	2) Ну ладно давайте я пока вам ничего не могу сказать утвердительного давайте	False	None
65	False	None	None	None
66	True	2) Ну не знаю я сейчас вам не скажу я на выезде на память я его не помню	False	None
67	False	None	None	None
68	False	None	None	None
69	False	None	None	None
70	False	None	None	None
71	True	2) Нет пока не надо меня включать я сейчас поручу юристам разобраться что это за необходимость такая остро я работаю уже 8 лет я впервые слышу об этом поэтому	True	1) Смотрите если это бумажный вариант ну то есть присылаем почтой россии документация 9 350 если это электронный документооборот как больничная да вот ну то есть с электронной цифровой подписью физический документ не высылается вы потом распечатываете с электронки и все то тогда это 6 500
72	False	None	None	None
73	False	None	None	None
74	False	None	None	None
75	True	2) Договор мне прислали у меня немножко вопросов я его заполнила сколько мне нужно вот как бы как бы по нашему этому и у меня есть вопросы по оплате	50/50	None
76	True	2) А 3 года ну наверное у меня вроде все прошло сколько это стоит	True	1) Ага все пошла оформлять заявку охрана труда и пожарный технический минимум
77	True	2) Ну все все у меня есть и по труду и по этому самому по пожарной	True	1) По пожарно техническому минимуму вы в каком году обучали перестал георгиев
78	True	2) Сейчас я малкину позвоню может мы проходили пожарно технический минимум обучались где то в нагаткино	50/50	None
79	True	2) Я поняла все я вас по голосу узнал пока нет	True	1) Так вот смотрите можно 7 по 11 сентября можно с 14 по 18 сентября
80	True	2) Все ясно все спасибо будем искать сейчас а если вдруг не найдем тогда что проходить обучение	50/50	None
81	True	2) У нас надо посмотреть по бюджету не могу сказать сейчас	False	None
82	False	None	None	None
83	True	2) Мы обучаем намного дешевле	50/50	None
84	False	None	None	None
85	False	None	None	None
86	True	2) У нас есть инженер по охране труда и он всем всему обучен	True	1) Непосредственного вот как бы ей обязательно выучить и запах р подходам 1 4 класса должно быть обучен
87	True	2) Пока пока нет пока нет там надо нам через администрацию интересоваться	50/50	None
88	False	None	None	None
89	True	2) То есть у меня график гарант как таковой а график гарант липецк	True	1) А вот так да
90	True	2) То есть у нас от 1 г и миллилитра до литра до килограмма	True	1) Ну вот иван васильевич скажите
91	False	None	None	None
92	False	None	None	None
93	True	2) Да все обучены по 1 помощи это	50/50	None
94	False	None	None	None
95	False	None	None	None
96	True	2) Не надо нам нет нам не надо	False	None
97	False	None	None	None
98	True	2) Мы не должны у нас есть	True	1) Смотрите алексей петрович вы являетесь отдельным юридическим лицом вот и то что касается отдельным юридическим лицом вы юр лицо да организация по законодательству у вас гчс как руководителя быть должно если вы ознакамливались вы видите по постановлению да у руководителя должно быть данное направление и 1 назначенного лица руководитель
99	True	2) Я поняла смотрите у нас есть обучающий центр здесь у нас в городе якутске с которым мы постоянно сотрудничаем поэтому нам это не интересно	False	None
100	True	2) Тоже самое у нас есть	True	1) Нуну на причем здесь гражданская оборона то понятно дело по гражданской обороны вы обучены как руководители проводит инструктаж для коллег также у вас назначено лицо в организации должно быть а пока виду там совсем другое
101	False	None	None	None
102	True	2) Обучались мы прошли все вот это технические все вот эти вот вопросы	True	1) Но вам тогда будет выгодно с 30 скидка это самый выгодный вариант потому что по количеству у вас получается по 1100 смотрите стандартная цена 1250 у каида вот со скидкой от количества так как вас немножко маленький коллектив получается всего 1100 от количества так по акции 30 скидки за 7000 могу выслать человека обучить то есть ну вот это самый выгодный вариант устроит такой вариант нина николаевна
103	False	None	None	None
104	False	None	None	None
105	True	2) У нас на это вот и средства запланированы поэтому все мы обучаемся	False	None
106	False	None	None	None
107	True	2) То есть получается у нас есть отдел допустим главный бухгалтер она должна быть	True	1) Ну вот смотрите в этих вот отделах если есть начальники отдела руководители они тоже по хорошему должны проходить данное направление
108	False	None	None	None
109	False	None	None	None
110	False	None	None	None
111	False	None	None	None
112	False	None	None	None
113	False	None	None	None
114	False	None	None	None
115	True	2) У меня это все есть лежа на	True	1) Вот смотрите да до 25 тестирования проходите вот получается оплата производите 25 вам сканы направляем для контрольного уже от просмотре на компьютере чтобы ну посмотрели там все точно вот нет несколько же раз вы сначала договорчик читаете смотрите там фамилия все что правильно было ну и потом сканы на компьютере 25 числа мы вам отправляем уже корочки ну вот все как по экологи с отходами делали
116	False	None	None	None
117	False	None	None	None
118	True	2) У меня есть это вопрос вот какой	50/50	None
119	True	2) Нам только по экологии нужно крыть чтобы сертификат энергосбережения нам не нужен у нас есть специальный	False	None
120	False	None	None	None
121	False	None	None	None
122	False	None	None	None
123	False	None	None	None
124	False	None	None	None
125	False	None	None	None
126	False	None	None	None
127	True	2) У нас есть ответственно	50/50	None
128	True	2) Вроде бы у нас все пройдено	True	1) А гражданская оборона
129	True	2) Вы знаете я знаете я не могу поддержать с вами разговор у меня есть иколог который этими вещами занимает	False	None
130	False	None	None	None
131	True	2) Ну не знаю может так	50/50	None
132	False	None	None	None
133	False	None	None	None
134	False	None	None	None
135	True	2) Да вот вы знаете у меня тут я наконецто зашел вот все нормально прохожу вот это вот пока отвечаю на вопросы да да у меня здесь есть некоторые вопросы которые	50/50	None
136	True	2) Вот 2 пожарный технический минимум там все нормально	50/50	None
137	False	None	None	None
138	True	2) Нет нет нормально все	50/50	None
139	False	None	None	None
140	False	None	None	None
141	False	None	None	None
142	True	2) 2 человека должна обучать да	50/50	None
143	False	None	None	None
144	False	None	None	None
145	False	None	None	None
146	False	None	None	None
147	False	None	None	None
148	True	2) Ну по пожарке там будет но пока нет ничего тоже такого то	True	1) Поселок боровка у него вообще будет отходы проверять 89 федеральный закон и экология у него сразу у него то есть у него вот с 1 сентября у него проверка еще кого то
149	True	2) Хорошо я проговорю у нас есть отдел по охране окружающей среды	False	None
150	True	2) Вот этого я не могу сказать	True	1) Установили обязательное обучение то как пожарности к минимуму охрана труда обязательно должно быть у вас
151	True	2) Не ну так вопрос ставится вот все звонят понимаете сезон у нас сегодня по налогам просрочка мы не можем собрать на налоги заплатить за прошлогодний то есть у нас просрочка идет мы должны в марте закрыть налоги мы налоги не можем заплатить потому что у нас текущая то есть ну либо нам вообще останавливается бросает работу	True	1) Ну хорошо роман иванович давайте тогда письмо я вам отправила вопросы возникнут если
152	True	2) Это у нас есть это у нас и есть	50/50	None
153	True	2) В конце года николай александрович в общем все есть	True	1) Должны быть документарные не знаю как они будут у вас проходить
154	False	None	None	None
155	True	2) Есть такое все нормально	False	None
156	True	2) О проверьте знаний требования охраны труда вот у меня есть такое	True	1) По сроку проверьте там на 3 года выдается когда проходили обучение когда
157	True	2) Пока по руководителем нет мы не получали не видел просто есть у нас наше производственные мощности проверяют вот ростехнадзор вот такие у нас	True	1) Ну вот у вас на сентябрь вообще да проверка она у вас стоит
158	False	None	None	None
159	False	None	None	None
160	True	2) Вот давайте на данные этапы пока нет	True	1) А вот когда ясно хорошо тогда в пятницу вас наберу и тогда запишем с вами на удобно для вас период да всего доброго до свидания
161	True	2) Мне нужно с этим вопросом не занимаюсь это юридическая часть уже	False	None
162	False	None	None	None
163	False	None	None	None
164	False	None	None	None
165	False	None	None	None
166	True	2) А все заказ мы заканчиваем не надо нам сейчас	True	1) Ну когда я могла бы вам перезвонить потому что вот мы сейчас будем сейчас конец месяца мы будем давать отчет по тем организациям кто обучил и кто не прошел курсы
167	True	2) Да да да у нас все есть все есть да вы на сбрасывали	50/50	None
168	False	None	None	None
169	False	None	None	None
170	True	2) Нет нет пока года получили	50/50	None
171	False	None	None	None
172	False	None	None	None
173	False	None	None	None
174	True	2) Ничего все нормально будет	False	None
175	True	2) У меня есть я в принципе я многим пишу потому что у меня ну такие вот ситуации случается луж извините конечно просто мы сами не успеваем за эть минувший ство мигна	50/50	None
176	False	None	None	None
177	False	None	None	None
178	False	None	None	None
179	True	2) Поэтапно все проходит	True	1) Давайте хорошо давайте тогда так договоримся тогда хорошего вечера до свидания всего доброго
180	False	None	None	None
181	False	None	None	None
182	False	None	None	None
183	False	None	None	None
184	False	None	None	None
185	True	2) Прошло все по сим суммам по 1250	False	None
186	False	None	None	None
187	True	2) Ну не знаю я то туда не буду заходить не могу сказать есть ли у меня вопрос	False	None
188	True	2) Вот я говорю она пышка она с пышкой только делает через 1 с через госуслуги через казначейский портал только таким вариантом мы работаем то есть у нас вот этих программ нет хотя бис у нас есть по моему в рану я даже не знаю как там можно перенаправить	True	1) Да и там еще потом смотрите вот понятно что вы там отправляете через госуслуги да закупки у вас тоже что я специфика работы мы обычно отправляем договор мы обычно направляем ну в электронной почте и потом через бис ну тоже из 1 с у нас идет отправка
189	False	None	None	None
190	False	None	None	None
191	True	2) Хорошо спасибо но в рамках тесто я просто хотела записать свое мнение о том как это сейчас это все выглядит и как оно работает я не могу сказать к сожалению сказать потому что у меня только скриншоты прислали и могу написать	50/50	None
192	False	None	None	None
193	False	None	None	None
194	True	2) Пока нет	True	1) Да нет я по электронной почта это да просто напросто у нас там субсидии выделена для тех кто пользуется электрон цифровой подписью там бы
195	True	2) А да да да я поняла нет пока ничего не надумала кология точно не будем делать получаешь пока не знаю	True	1) Это охрана труда на вообще жбы должна быть у всех отдал
196	False	None	None	None
197	False	None	None	None
198	False	None	None	None
199	False	None	None	None
200	False	None	None	None
201	True	2) Если будут какие то вопросы мы вам позвонил у нас есть ваш номер телефона как виза	False	None
202	False	None	None	None
203	False	None	None	None
204	False	None	None	None
205	False	None	None	None
206	False	None	None	None
207	True	2) У нас все пройдено это да да да	True	1) Ну ясно ладно хорошо то есть самое главное чтобы обучение было потому что там по программе смотрят хорошо все давайте тогда
208	True	2) Нет пока не попу нам пока не надо только не надо по пожарно техническому я уже просто не знала поэтому у нас уже контракт готов	True	1) Давайте тогда попозже с вами переговорим а вы посмотрите по вашим значит потребностям потому что другие школы садики подают по несколько удостоверение прям по 8 по 9 штук потому что сумма 9 350 она не меняется или у вас 2 удостоверения за эту сумму или у вас 8 или 10 понимаете
209	True	2) 6000 6000 что то около чуть чуть ну тоже также район район заказывала мы обучали все в районе	True	1) Так значит по 44 не надо только энергосбережения а вам может быть сделать например вам 2 удостоверения экология отходы и еще энергосбережение 3 3 удостоверения и за входу тоже сделать наверное экология и отходы да так вот сделаем
210	False	None	None	None
211	False	None	None	None
212	False	None	None	None
213	False	None	None	None
214	True	2) Дистанционный а в какой форме обучения проходит	True	1) А вот смотрите логин и пароль направляем вы заходите самостоятельно в личный кабинет это дистанционная форма обучения самостоятельно изучаете материалы а далее там же в личном кабинете у вас тестирование тоже сами заходите когда удобно вам сами проходите его мы уже видим результат потом оплаты и удостоверение вам уже доставляются
215	True	2) Ну понятно так ну нет предложение то заманчиво и прям вообще то есть мы обучаем только педагога уже правильно понимаю	True	1) Вот все то есть как бы все можете ну вот это вот дополнительно головная боль скажем так
216	False	None	None	None
217	False	None	None	None
218	False	None	None	None
219	True	2) На какие то рассказывать об акциях какие у нас есть чтобы клиенты были в курсе	50/50	None
220	False	None	None	None
221	True	2) То есть 5 6 сентября если мы с вами разрываем контракт какой то причине хотя я не собираюсь этого делать то все равно обучение оплачивается правильно	True	1) Вот а что еще хотела бы у вас уточнить скажите сергей с возражениями приходилось работать
222	False	None	None	None
223	False	None	None	None
224	True	2) Это выехать с бухгалтерия оформиться да договор нужно оформить оплатить и так далее и так далее ага как и раньше да как мы проходили	50/50	None
225	False	None	None	None
226	False	None	None	None
227	True	2) Подружка когда приглашаю на поехали в сентябре ну не знаю может за холодрыга будет в сентябре	50/50	None
228	True	2) Ну они нам пока продлили все это до октября обучения они пока не занимаются аттестацией	50/50	None
229	True	2) Ну мы обучаем здесь	50/50	None
230	True	2) Да на данный момент все обучены	True	1) Все направления охрана труда да и экология а медицинская пощада
231	True	2) Нет пока еще	True	1) Смотрите по экологии с 1 января этого года должно быть удостоверение на руками экологической безопасности закон экологии
232	True	2) У нас уже все обучено	True	1) А скажите в смысле какой через сколько он набрать чтобы понять да да нет нет я наверное не буду просто прочитайте утиный закон чтобы запомнили там обучение должно быть руководителю
233	True	2) Да я знаю у нас есть ение	50/50	None
234	False	None	None	None
235	False	None	None	None
236	True	2) Не могу сказать я же не это это охрана труда у нас мария валентиновна наверное но а как вот так ольга семена а кто на за охрану труда отвечает	True	1) А по гражданской обороне и обычно сотрудника у вас
237	True	2) Ну у меня есть	50/50	None
238	True	2) Так у нас все обученные не знаю проверку ничего не знаю ну у нас все обычно все комо положены	50/50	None
239	True	2) У нас это все есть спасибо	True	1) Смотрите по экологии с 1 января этого года должно быть удостоверение
240	False	None	None	None
241	False	None	None	None
242	False	None	None	None
243	False	None	None	None
244	True	2) Именно по геологической безопасности но не могу сказать	50/50	None
245	True	2) Нет нам спасибо мы не нуждаемся мы не нуждаемся в ваших услугах у нас все нормально у нас прошла проверка	False	None
246	True	2) Головной офис у нас есть производство поэтому я вас спрашиваю что за проверка по экологической безопасности	50/50	None
247	False	None	None	None
248	False	None	None	None
249	False	None	None	None
250	True	2) Да не надо нам за постановления вы что думаете больше ничего делать как законы постановления читать	True	1) Ну вот смотрите николай антонович чтобы у вас было безопасная работа чтобы вас не штрафовали никакие проверки чтобы вас не занимались
251	True	2) Пока пока нет потому что тимати запрещены до 1 января	True	1) Так хорошо смотрите а гражданская оборона пожарно техническим минимум охраны труда
252	True	2) Ну все кому нужно все обучены	True	1) Ну вот я вы знаете я звонила в школу экологии необычно никто это 7 фз 73 статья
253	True	2) Вот оно есть у меня	True	1) Отлично вы просто огромный молодец просто потрясающий на самом деле потому что когда вот а работа с отходами на 112 есть
254	False	None	None	None
255	True	2) Почему у меня есть у меня	True	1) Вот а по гочс
256	False	None	None	None
257	True	2) Понятно ну судя по всему у вас сейчас в период начался такой во всех этих контора как я вас называю всех то есть засыпали просто полностью засыпали а мы к сожалению уже как бы не знаю к нашему ток радости как бы мы уже все прошли у нас и обучением мы прошли и соут прошли так что пока наверное	50/50	None
258	False	None	None	None
259	True	2) У нас есть специалист по охране труда	50/50	None
260	False	None	None	None
261	False	None	None	None
262	True	2) Я просто не планировала на это поэтому нет пока нет	False	None
263	True	2) Ну вот дело в том что у нас вот просто мы посмотрели охрана труда и пожарный как он там пожарно техническим минимум у нас обучаемся мы в 1 в 1 предприятии ежегодно уже не знаешь много лет а в принципе от гражданской обороны да энергосбережения мед помощь вот этот нам как бы не нужно совсем	True	1) А удостоверение должно быть удостоверение так вот по гражданской обороне
264	True	2) Вот это вот на вряд ли у меня есть потому что я это узнавала но что то я вообще образовательно узнавала даже они мне сказали что у них этих пока требований нет я даже не знаю кто требует или нет при проверках	True	1) Странно конечно требует конечно требует там идет удостоверение гражданской обороны и чрезвычайной ситуации то есть вот сейчас
265	True	2) Директора нет я им ничего не могу сказать	True	1) Я вот смотрите я понятно я вам просто хотела это 1 вещь открывать я вам отправляла вот на почту и сделала предложение которое по которой мы сейчас в бюджетников обучаем
266	True	2) У нас есть прихожанин 1	50/50	None
267	False	None	None	None
268	False	None	None	None
269	True	2) Нет помощь пока нет а профилактика цена	50/50	None
270	True	2) Экологическая безопасностью и отходами я вообще не занимаюсь как бы у нас этого нет у меня пожарная охрана труда но необходимости нет потому что по мере того как подходят сроки мы работаем с организациями	50/50	None
271	False	None	None	None
272	False	None	None	None
273	False	None	None	None
274	False	None	None	None
275	True	2) Нет пока	False	None
276	True	2) Да какой у нас нет у нас есть все на директора на бухгалтера а на сотрудников только нет а сотрудников у нас 2 человека всего	True	1) Федеральный институт повышения квалификации был у нас его обучались но только вы у нас обучали знаете в каком году у меня стоит проезд с 17 в 16 я почему и звоню уточнить
277	True	2) У нас есть мы уже учились	50/50	None
278	True	2) Ну и соответственно как бы мы очно проводим в том числе в юлуторовске да то есть там понятно что соблюдение всех санитарных требований там в масках там и так далее да то есть маленькие группы вот но у нас блага есть филиал в ялуторовске тюменская тюменского учебного центра и там у нас есть возможность за эффективность такого рода обучения она зачастую выше	False	None
279	True	2) Конечно да все есть у нас все замечательно	50/50	None
280	True	2) Все обучены да всеобуча	50/50	None
281	True	2) Да вот знаете я сейчас вот значит вот федеральная служба по экологическому технологическому атомному надо лицензию у нас есть на эти дела лицензия допустим но это совсем другое экологическая безопасность это себя не относится	True	1) Так давайте тогда электронную почту запишу и уже сейчас передам итадис но они с вами свяжутся
282	False	None	None	None
283	True	2) Пока нет вот экологическая безопасность пока рано еще у меня просто я сейчас объект объект зал у меня котельно была	50/50	None
284	True	2) Нет он 1 мастер участка потому что котельная и находится во всех разных поселках то есть они несет с другом рядом поэтому каждый год у нас есть мастер	True	1) Вот ну все я сегодня в течение дня лесталь вам отправлю потому что у меня там цвета не было да в пятницу сегодня подготовлю вам обязательно в ближайшее время
285	True	2) Охрана труда у меня есть но это было уже просрочен у меня документ есть у меня тоже	True	1) Ну вот больше требует школы сады там вот в этом направлении да
286	False	None	None	None
287	False	None	None	None
288	False	None	None	None
289	False	None	None	None
290	False	None	None	None
291	False	None	None	None
292	True	2) Да образец удостоверения есть а я прошу то что там подожди	True	1) Так а экология нету да
293	False	None	None	None
294	True	2) Ну ладно давайте я пока вам ничего не могу сказать утвердительного давайте	False	None
295	False	None	None	None
296	True	2) Ну не знаю я сейчас вам не скажу я на выезде на память я его не помню	False	None
297	False	None	None	None
298	False	None	None	None
299	False	None	None	None
300	False	None	None	None
301	True	2) Нет пока не надо меня включать я сейчас поручу юристам разобраться что это за необходимость такая остро я работаю уже 8 лет я впервые слышу об этом поэтому	True	1) Смотрите если это бумажный вариант ну то есть присылаем почтой россии документация 9 350 если это электронный документооборот как больничная да вот ну то есть с электронной цифровой подписью физический документ не высылается вы потом распечатываете с электронки и все то тогда это 6 500
302	False	None	None	None
303	False	None	None	None
304	False	None	None	None
305	True	2) Договор мне прислали у меня немножко вопросов я его заполнила сколько мне нужно вот как бы как бы по нашему этому и у меня есть вопросы по оплате	50/50	None
306	True	2) А 3 года ну наверное у меня вроде все прошло сколько это стоит	True	1) Ага все пошла оформлять заявку охрана труда и пожарный технический минимум
307	True	2) Ну все все у меня есть и по труду и по этому самому по пожарной	True	1) По пожарно техническому минимуму вы в каком году обучали перестал георгиев
308	True	2) Сейчас я малкину позвоню может мы проходили пожарно технический минимум обучались где то в нагаткино	50/50	None
309	True	2) Я поняла все я вас по голосу узнал пока нет	True	1) Так вот смотрите можно 7 по 11 сентября можно с 14 по 18 сентября
310	True	2) Все ясно все спасибо будем искать сейчас а если вдруг не найдем тогда что проходить обучение	50/50	None
311	True	2) У нас надо посмотреть по бюджету не могу сказать сейчас	False	None
312	False	None	None	None
313	True	2) Мы обучаем намного дешевле	50/50	None
314	False	None	None	None
315	False	None	None	None
316	True	2) У нас есть инженер по охране труда и он всем всему обучен	True	1) Непосредственного вот как бы ей обязательно выучить и запах р подходам 1 4 класса должно быть обучен
317	True	2) Пока пока нет пока нет там надо нам через администрацию интересоваться	50/50	None
318	False	None	None	None
319	True	2) То есть у меня график гарант как таковой а график гарант липецк	True	1) А вот так да
320	True	2) То есть у нас от 1 г и миллилитра до литра до килограмма	True	1) Ну вот иван васильевич скажите
321	False	None	None	None
322	False	None	None	None
323	True	2) Да все обучены по 1 помощи это	50/50	None
324	False	None	None	None
325	False	None	None	None
326	True	2) Не надо нам нет нам не надо	False	None
327	False	None	None	None
328	True	2) Мы не должны у нас есть	True	1) Смотрите алексей петрович вы являетесь отдельным юридическим лицом вот и то что касается отдельным юридическим лицом вы юр лицо да организация по законодательству у вас гчс как руководителя быть должно если вы ознакамливались вы видите по постановлению да у руководителя должно быть данное направление и 1 назначенного лица руководитель
329	True	2) Я поняла смотрите у нас есть обучающий центр здесь у нас в городе якутске с которым мы постоянно сотрудничаем поэтому нам это не интересно	False	None
330	True	2) Тоже самое у нас есть	True	1) Нуну на причем здесь гражданская оборона то понятно дело по гражданской обороны вы обучены как руководители проводит инструктаж для коллег также у вас назначено лицо в организации должно быть а пока виду там совсем другое
331	False	None	None	None
332	True	2) Обучались мы прошли все вот это технические все вот эти вот вопросы	True	1) Но вам тогда будет выгодно с 30 скидка это самый выгодный вариант потому что по количеству у вас получается по 1100 смотрите стандартная цена 1250 у каида вот со скидкой от количества так как вас немножко маленький коллектив получается всего 1100 от количества так по акции 30 скидки за 7000 могу выслать человека обучить то есть ну вот это самый выгодный вариант устроит такой вариант нина николаевна
333	False	None	None	None
334	False	None	None	None
335	True	2) У нас на это вот и средства запланированы поэтому все мы обучаемся	False	None
336	False	None	None	None
337	True	2) То есть получается у нас есть отдел допустим главный бухгалтер она должна быть	True	1) Ну вот смотрите в этих вот отделах если есть начальники отдела руководители они тоже по хорошему должны проходить данное направление
338	False	None	None	None
339	False	None	None	None
340	False	None	None	None
341	False	None	None	None
342	False	None	None	None
343	False	None	None	None
344	False	None	None	None
345	True	2) У меня это все есть лежа на	True	1) Вот смотрите да до 25 тестирования проходите вот получается оплата производите 25 вам сканы направляем для контрольного уже от просмотре на компьютере чтобы ну посмотрели там все точно вот нет несколько же раз вы сначала договорчик читаете смотрите там фамилия все что правильно было ну и потом сканы на компьютере 25 числа мы вам отправляем уже корочки ну вот все как по экологи с отходами делали
346	False	None	None	None
347	False	None	None	None
348	True	2) У меня есть это вопрос вот какой	50/50	None
349	True	2) Нам только по экологии нужно крыть чтобы сертификат энергосбережения нам не нужен у нас есть специальный	False	None
350	False	None	None	None
351	False	None	None	None
352	False	None	None	None
353	False	None	None	None
354	False	None	None	None
355	False	None	None	None
356	False	None	None	None
357	True	2) У нас есть ответственно	50/50	None
358	True	2) Вроде бы у нас все пройдено	True	1) А гражданская оборона
359	True	2) Вы знаете я знаете я не могу поддержать с вами разговор у меня есть иколог который этими вещами занимает	False	None
360	False	None	None	None
361	True	2) Ну не знаю может так	50/50	None
362	False	None	None	None
363	False	None	None	None
364	False	None	None	None
365	True	2) Да вот вы знаете у меня тут я наконецто зашел вот все нормально прохожу вот это вот пока отвечаю на вопросы да да у меня здесь есть некоторые вопросы которые	50/50	None
366	True	2) Вот 2 пожарный технический минимум там все нормально	50/50	None
367	False	None	None	None
368	True	2) Нет нет нормально все	50/50	None
369	False	None	None	None
370	False	None	None	None
371	False	None	None	None
372	True	2) 2 человека должна обучать да	50/50	None
373	False	None	None	None
374	False	None	None	None
375	False	None	None	None
376	False	None	None	None
377	False	None	None	None
378	True	2) Ну по пожарке там будет но пока нет ничего тоже такого то	True	1) Поселок боровка у него вообще будет отходы проверять 89 федеральный закон и экология у него сразу у него то есть у него вот с 1 сентября у него проверка еще кого то
379	True	2) Хорошо я проговорю у нас есть отдел по охране окружающей среды	False	None
